"Spectrum","Time","AIC"
394,459.39747168,562195.6405011057
395,459.49746528,553276.1521319299
396,459.59745888,542498.5323016898
397,459.69745248,529787.0864700954
398,459.79744608,515064.6550087449
399,459.89743968,498254.0677356409
400,459.99743328,479279.5854510025
401,460.09742688,462515.5636299574
402,460.19742048,447875.3365950668
403,460.29741408,435277.7169534689
404,460.39740768,424648.0862793742
405,460.49740128,415919.3464723441
406,460.59739488,409032.7252566716
407,460.69738848,403938.4387975607
408,460.79738208,400596.2300402122
409,460.89737568,398975.8303339271
410,460.99736928,399057.5101195941
411,461.09736288,400832.1320274579
412,461.19735648,402075.564969733
413,461.29735008,402803.0405770538
414,461.39734368,403034.7594811467
415,461.49733728,402794.1670179485
416,461.59733088,402106.2407086137
417,461.69732448,400995.7822035081
418,461.79731808,399485.7040013472
419,461.89731168,397595.2834414858
420,461.99730528,395338.3077486439
421,462.09729888,392720.8018417515
422,462.19729248,389739.5462722548
423,462.29728608,386384.4305719429
424,462.39727968,382640.4838753417
425,462.49727328,378489.5818814181
426,462.59726688,373912.0203834658
427,462.69726048,368888.0100681864
428,462.79725408,363399.1211281114
429,462.89724768,357429.6878103755
430,462.99724128,350968.1919681648
431,463.09723488,344008.6604898801
432,463.19722848,336552.2288393781
433,463.29722208,328608.2619668994
434,463.39721568,320193.5066248549
435,463.49720928,311331.3505170105
436,463.59720288,302051.1854687923
437,463.69719648,292387.7781060867
438,463.79719008,282380.6225527609
439,463.89718368,272073.2631227516
440,463.99717728,261512.5896081956
441,464.09717088,250748.1093757691
442,464.19716448,239831.2053824606
443,464.29715808,228814.3901487903
444,464.39715168,217750.5667556891
445,464.49714528,206692.3095600616
446,464.59713888,195691.1748945313
447,464.69713248,184817.2724898332
448,464.79712608,174179.4915622679
449,464.89711968,163943.5600763732
450,464.99711328,154265.8675384955
451,465.09710688,145197.0332450464
452,465.19710048,136671.9280930919
453,465.29709408,128592.4607667296
454,465.39708768,120910.3660639988
455,465.49708128,113619.5268113171
456,465.59707488,106738.38085679
457,465.69706848,100282.4563326433
458,465.79706208,94224.99289076975
459,465.89705568,88379.58810147725
460,465.99704928,82521.99221270987
461,466.09704288,76442.89034371934
462,466.19703648,70140.44408794075
463,466.29703008,63838.41962086894
464,466.39702368,57817.63585499262
465,466.49701728,52192.05264966283
466,466.59701088,47041.82061567742
467,466.69700448,42383.07694468972
468,466.79699808,38223.63917932633
469,466.89699168,34582.25503297657
470,466.99698528,31662.03994464164
471,467.09697888,29552.20513321412
472,467.19697248,28320.61301280357
473,467.29696608,27917.71524134435
474,467.39695968,28170.14437399495
475,467.49695328,28869.60198916558
476,467.59694688,29972.71085742236
477,467.69694048,31358.60231801005
478,467.79693408,32943.00596959308
479,467.89692768,34650.42508448743
480,467.99692128,36414.60357710474
481,468.09691488,38104.68194044968
482,468.19690848,39691.67502185036
483,468.29690208,41190.89791891276
484,468.39689568,42792.14081869192
485,468.49688928,45083.32546979553
486,468.59688288,49031.7225061232
487,468.69687648,55523.79265409028
488,468.79687008,64643.31724449007
489,468.89686368,75534.51052022143
490,468.99685728,87178.43139879333
491,469.09685088,98990.45817469357
492,469.19684448,110912.5168667445
493,469.29683808,123235.8229812958
494,469.39683168,136218.6221718316
495,469.49682528,149504.3737983647
496,469.59681888,161623.8893080752
497,469.69681248,170285.2899145961
498,469.79680608,173406.3496604383
499,469.89679968,170769.835093367
500,469.99679328,164129.1777054117
501,470.09678688,155564.9388249065
502,470.19678048,146289.4901019081
503,470.29677408,136459.2804901395
504,470.39676768,125499.3815770365
505,470.49676128,112814.4943842814
506,470.59675488,98595.44745757506
507,470.69674848,84338.60269977496
508,470.79674208,73440.78348226754
509,470.89673568,72640.71636920638
510,470.99672928,91825.80324309831
511,471.09672288,140258.140927984
512,471.19671648,219055.8109921245
513,471.29671008,319883.1468367918
514,471.39670368,432355.9793760616
515,471.49669728,550036.2374638964
516,471.59669088,670777.5097719616
517,471.69668448,794205.4673375611
518,471.79667808,919348.1785752663
519,471.89667168,1042215.819521602
520,471.99666528,1151461.99542298
521,472.09665888,1227343.150102551
522,472.19665248,1249322.790222908
523,472.29664608,1212918.518912673
524,472.39663968,1133482.271319011
525,472.49663328,1031546.115737849
526,472.59662688,920512.7633215326
527,472.69662048,805243.701646945
528,472.79661408,686350.0833236586
529,472.89660768,564235.7666607504
530,472.99660128,441070.4890196034
531,473.09659488,323020.5402821869
532,473.19658848,220483.3275597802
533,473.29658208,144132.0925689316
534,473.39657568,96469.24046043026
535,473.49656928,69987.26047494376
536,473.59656288,54534.69481326271
537,473.69655648,43490.0402682908
538,473.79655008,34486.16280047301
539,473.89654368,27289.19433063859
540,473.99653728,21881.47691581033
541,474.09653088,18041.62661207469
542,474.19652448,15381.73111026851
543,474.29651808,13531.34820622325
544,474.39651168,12228.41225376995
545,474.49650528,11305.10340388608
546,474.59649888,10654.42247786562
547,474.69649248,10206.26598704757
548,474.79648608,9905.302788667199
549,474.89647968,9719.07541361213
550,474.99647328,9624.316670484799
551,475.09646688,9603.899295669848
552,475.19646048,9644.89918450366
553,475.29645408,9737.327040074004
554,475.39644768,9873.273648591199
555,475.49644128,10046.31823202253
556,475.59643488,10251.10820898337
557,475.69642848,10483.05211555789
558,475.79642208,10738.08911818528
559,475.89641568,11028.16959246481
560,475.99640928,11348.20951030422
561,476.09640288,11693.37315869144
562,476.19639648,12058.91599682291
563,476.29639008,12439.98933119756
564,476.39638368,12831.10306577038
565,476.49637728,13224.49217189146
566,476.59637088,13611.95114808076
567,476.69636448,13985.18490179361
568,476.79635808,14335.97211977266
569,476.89635168,14723.30892994933
570,476.99634528,15171.6580438829
571,477.09633888,15725.65368837771
572,477.19633248,16441.08626712848
573,477.29632608,17384.15218683415
574,477.39631968,18630.47489236224
575,477.49631328,20264.65961621166
576,477.59630688,22381.99210486096
577,477.69630048,25083.23752649967
578,477.79629408,28472.49889871106
579,477.89628768,32655.58055073074
580,477.99628128,37604.54107310769
581,478.09627488,43344.5373570937
582,478.19626848,49876.48453424888
583,478.29626208,57177.02310656128
584,478.39625568,65199.59608469938
585,478.49624928,73876.27265591631
586,478.59624288,83119.68161610543
587,478.69623648,92824.07639448813
588,478.79623008,102869.9109095287
589,478.89622368,113126.8494300349
590,478.99621728,123456.4266383958
591,479.09621088,133781.4874134222
592,479.19620448,143994.3648146077
593,479.29619808,153997.099445707
594,479.39619168,163703.1510585981
595,479.49618528,173039.2417613139
596,479.59617888,181949.0552994232
597,479.69617248,190403.4527780852
598,479.79616608,198428.7429531715
599,479.89615968,206171.4975923851
600,479.99615328,213991.0830874922
601,480.09614688,222401.0158328806
602,480.19614048,231694.4522705128
603,480.29613408,241595.7073476564
604,480.39612768,251541.7079404372
605,480.49612128,261089.6520929029
606,480.59611488,270010.9431102654
607,480.69610848,278202.5889352661
608,480.79610208,285589.4228887124
609,480.89609568,292123.5801820544
610,480.99608928,297509.2652826248
611,481.09608288,301065.6603645144
612,481.19607648,301840.645364961
613,481.29607008,299356.4876679622
614,481.39606368,294303.1534923125
615,481.49605728,287971.1543869525
616,481.59605088,281430.877614889
617,481.69604448,275336.7618005107
618,481.79603808,270089.4009822128
619,481.89603168,265995.5138678952
620,481.99602528,263178.7430967178
621,482.09601888,261930.1032419766
622,482.19601248,262699.1121240186
623,482.29600608,266055.2163924666
624,482.39599968,272289.962448135
625,482.49599328,281082.2835749853
626,482.59598688,291784.2874825117
627,482.69598048,303834.4473983127
628,482.79597408,316859.0695824352
629,482.89596768,330596.0744067664
630,482.99596128,344823.2113122744
631,483.09595488,359416.3129333456
632,483.19594848,374216.5777575513
633,483.29594208,389080.0538997495
634,483.39593568,403842.6486082518
635,483.49592928,418371.3097471205
636,483.59592288,432541.883957324
637,483.69591648,446236.3056741045
638,483.79591008,459338.279766959
639,483.89590368,471737.1797291967
640,483.99589728,483329.0293956567
641,484.09589088,494016.7818906715
642,484.19588448,503717.5529319989
643,484.29587808,512348.4253227597
644,484.39587168,519834.5213251069
645,484.49586528,526127.8802760596
646,484.59585888,531183.4064647311
647,484.69585248,534971.5985514064
648,484.79584608,537523.2359356481
649,484.89583968,538864.1763249575
650,484.99583328,539038.7299446247
651,485.09582688,538105.813362033
652,485.19582048,536136.6288261354
653,485.29581408,533209.2525472454
654,485.39580768,529414.193946384
655,485.49580128,524848.9868134109
656,485.59579488,519616.5671636779
657,485.69578848,513823.6054279099
658,485.79578208,507578.6343897043
659,485.89577568,500908.6419023918
660,485.99576928,493898.9713049296
661,486.0957628800001,486630.9316654071
662,486.19575648,479182.5273073143
663,486.29575008,471628.4751651641
664,486.39574368,464039.9955720194
665,486.49573728,456484.4006381254
666,486.59573088,449024.5872832692
667,486.69572448,441718.4801683684
668,486.79571808,434631.7353816889
669,486.89571168,427814.2652581291
670,486.99570528,421350.2203738976
671,487.09569888,415285.476224841
672,487.19569248,409660.4539574696
673,487.29568608,404509.9376814147
674,487.39567968,399862.8689187998
675,487.49567328,395742.1782724449
676,487.59566688,392164.7253110176
677,487.69566048,389141.3301006261
678,487.79565408,386676.8946236909
679,487.89564768,384744.0454789171
680,487.99564128,383329.2137248575
681,488.09563488,382412.3535351038
682,488.19562848,381967.2607711795
683,488.29562208,381961.9750162752
684,488.39561568,382359.2621567657
685,488.4956092800001,383117.1709094098
686,488.59560288,384189.6539756663
687,488.69559648,385527.2441203902
688,488.79559008,387077.773213355
689,488.89558368,388787.1237273175
690,488.99557728,390613.2857962344
691,489.09557088,392504.2509512568
692,489.19556448,394409.1339340169
693,489.29555808,396279.0371917255
694,489.39555168,398067.9228787901
695,489.49554528,399733.5363822622
696,489.59553888,401238.5974821095
697,489.69553248,402551.3086428514
698,489.79552608,403644.2466207528
699,489.89551968,404624.7897437664
700,489.99551328,405563.5091589719
701,490.09550688,406569.1325491422
702,490.19550048,407790.9818136272
703,490.29549408,409418.8547545932
704,490.39548768,411680.25392366
705,490.49548128,414835.05781109
706,490.59547488,419166.8343555395
707,490.69546848,424972.6761306966
708,490.79546208,432558.1196622865
709,490.8954556800001,442232.5807311073
710,490.99544928,454041.4051099232
711,491.09544288,468102.2568630488
712,491.19543648,484448.9349265329
713,491.29543008,503020.9905562127
714,491.39542368,523659.2860731503
715,491.49541728,546107.6820066372
716,491.59541088,570020.5774357555
717,491.69540448,594977.6727748632
718,491.79539808,620501.4343487417
719,491.89539168,646066.8722934116
720,491.9953852800001,671115.454903099
721,492.09537888,695201.4133391863
722,492.19537248,717835.6678368433
723,492.29536608,738559.4021147798
724,492.39535968,756993.3344857239
725,492.49535328,772828.471258638
726,492.59534688,785830.795382477
727,492.69534048,795841.9392889068
728,492.79533408,802775.0436820161
729,492.89532768,806608.2254573881
730,492.99532128,807380.4792670436
731,493.09531488,805183.7622260544
732,493.19530848,800153.8239002068
733,493.29530208,792460.4312877074
734,493.39529568,782329.2248618386
735,493.49528928,769964.3890439124
736,493.59528288,755580.2637330038
737,493.69527648,739396.7926863923
738,493.79527008,721635.0905639511
739,493.89526368,702513.5735212911
740,493.99525728,682244.7585773282
741,494.09525088,661032.7545470889
742,494.19524448,639071.4215275794
743,494.29523808,616543.1705428683
744,494.3952316800001,593582.7881235102
745,494.49522528,570339.2224867716
746,494.59521888,546966.8819055827
747,494.69521248,523606.3252641615
748,494.79520608,500383.7086467879
749,494.89519968,477410.8254136468
750,494.99519328,454785.4753318461
751,495.09518688,432592.0589386392
752,495.19518048,410902.3207760206
753,495.29517408,389776.1920458518
754,495.39516768,369262.6922757365
755,495.49516128,349472.0851439811
756,495.59515488,330421.5149200296
757,495.69514848,312122.0298562295
758,495.79514208,294579.191050062
759,495.89513568,277733.7457843935
760,495.99512928,261584.023795844
761,496.09512288,246124.4846216491
762,496.19511648,231346.2183286171
763,496.29511008,217237.4125012615
764,496.39510368,203783.7823908024
765,496.49509728,190968.9650555388
766,496.59509088,178739.2656929061
767,496.69508448,167081.6315521997
768,496.7950780800001,155980.89049091
769,496.89507168,145420.1520989297
770,496.99506528,135500.998889418
771,497.09505888,126200.1434233302
772,497.19505248,117493.6870624443
773,497.29504608,109357.3675591829
774,497.39503968,101766.7746219547
775,497.49503328,94697.5377243359
776,497.59502688,88125.48702947819
777,497.69502048,82026.79018948218
778,497.79501408,76378.06666102436
779,497.89500768,71156.48292501704
