Name,R.T. (min),Similarity,Formula,Area,Peak S/N,Base Mass
Acenaphthene,13.2475,811,C12H10,107777,43,154.12
"Propanoic acid, 2-methyl-, 2-phenylethyl ester",13.3208,931,C12H16O2,2598506,775,104.09
Tetradecane,13.3408,904,C14H30,662114,85,57.11
"Acetamide, N-(2-ethoxy-3,6-dihydro-6-methyl-2H-pyran-3-yl)-",13.4262,719,C10H17NO3,76545,32,125.13
"2H-Pyran-2-one, 5,6-dihydro-4,6,6-trimethyl-",13.5049,624,C8H12O2,427338,182,82.07
Peak 147,13.511,,,165235,64,151.15
Peak 148,13.533,,,385195,48,109.10
"3-Hexyne-2,5-diol, 2,5-dimethyl-",13.5793,709,C8H14O2,652751,172,109.09
"Naphthalene, 1,5-dimethyl-",13.5987,683,C12H12,80941,39,156.13
Peak 151,13.6651,,,45962,16,123.12
"Benzaldehyde, 2,4-dihydroxy-6-methyl-",13.794,835,C8H8O3,725446,182,151.08
Peak 153,13.8893,,,128832,27,117.10
"1-Butanol, 3-methyl-, benzoate",13.9275,715,C12H16O2,206986,37,105.06
"Hexane, 3,3-dimethyl-",14.1245,782,C8H18,111588,18,57.11
"Cycloheptasiloxane, tetradecamethyl-",14.1741,846,C14H42O7Si7,1672267,260,73.08
"1,2,7,8-Octanetetrol",14.1836,662,C8H18O4,477570,97,55.08
Peak 158,14.2059,,,77350,18,44.03
"1-Hexanone, 1-phenyl-",14.2378,898,C12H16O,659963,128,105.06
Peak 160,14.277,,,136347,15,92.11
"Cyclohexane, 1,1,3,5-tetramethyl-, cis-",14.3199,758,C10H20,188008,16,69.13
Ethyl (Z)-cinnamate,14.3318,856,C11H12O2,190751,53,131.09
Peak 163,14.4227,,,86715,21,71.09
3-Ethoxyacrylonitrile,14.4566,790,C5H7NO,179468,28,97.06
2-Methyl-6-methyleneoct-7-en-3-one,14.4676,726,C10H16O,580859,74,71.09
"3,4-Hexanedione, 2,2,5-trimethyl-",14.4942,649,C9H16O2,774483,95,71.09
"Cyclohexanecarboxylic acid, 2-phenylethyl ester",14.5313,650,C15H20O2,135921,37,104.09
"3,5-Diamino-1,2,4-triazole",14.5695,869,C2H5N5,203201,14,44.03
"Methylamine, N,N-dimethyl-",14.5778,801,C3H9N,160676,28,58.08
"Propanoic acid, 2-methyl-, anhydride",14.6207,704,C8H14O3,1834715,290,71.09
"2,2-Dimethyl-3-heptanone",14.629,756,C9H18O,294814,30,57.11
Peak 172,14.66,,,304471,89,99.07
"Nonanoic acid, 9-oxo-, ethyl ester",14.7026,611,C11H20O3,112973,23,55.10
"Propanoic acid, 2-methyl-, anhydride",14.7237,620,C8H14O3,106547,16,71.09
Peak 175,14.7445,,,60331,29,99.02
"Ethanone, 1-(3-hydroxy-4-methoxyphenyl)-",14.8095,836,C9H10O3,268992,136,151.08
"Propanoic acid, 2-methyl-, 3-phenylpropyl ester",14.8254,877,C13H18O2,489823,141,118.11
"Phenol, 3,5-bis(1,1-dimethylethyl)-",14.834,810,C14H22O,659145,90,191.19
"(1S,2S,4S)-Trihydroxy-p-menthane",14.8789,797,C10H20O3,262119,96,71.08
Peak 180,14.9167,,,187295,28,59.09
Peak 181,14.9715,,,106789,43,55.06
Peak 182,14.9907,,,95288,13,59.09
Peak 183,15.0061,,,187812,140,172.07
"Hexane, 2,4,4-trimethyl-",15.0478,741,C9H20,178762,18,57.11
"2(4H)-Benzofuranone, 5,6,7,7a-tetrahydro-4,4,7a-trimethyl-, (R)-",15.2499,813,C11H16O2,397434,118,111.07
"Ethyl 5-amino-1,3,4-oxadiazole-2-carboxylate",15.2959,638,C5H7N3O3,44644,29,157.14
Peak 187,15.379,,,94544,26,98.10
Butanoic acid,15.485,708,C4H8O2,208348,35,60.06
Toluene,15.5695,773,C7H8,166373,19,91.08
"Phenol, 4-pentyl-",15.5867,666,C11H16O,113208,24,107.08
"Propanoic acid, 2-methyl-, anhydride",15.736,805,C8H14O3,886582,159,71.09
"Nonanoic acid, 2-oxo-, methyl ester",15.7562,609,C10H18O3,206774,35,57.11
Diethyl Phthalate,15.808,886,C12H14O4,798065,308,149.06
"Dodecane, 2,7,10-trimethyl-",15.8437,812,C15H32,456185,57,57.11
"1-(1,3-Dimethyl-1H-pyrazol-4-yl)ethanone",15.8764,798,C7H10N2O,175829,63,123.11
