"Spectrum","Time","TIC"
385,458.49752928,2421730.280274543
386,458.59752288,2415310.24458268
387,458.69751648,2409867.483485691
388,458.79751008,2405490.197845347
389,458.89750368,2402185.223638793
390,458.99749728,2399848.129876946
391,459.09749088,2398250.139353585
392,459.19748448,2397216.991598679
393,459.29747808,2396684.614741428
394,459.39747168,2396681.175104963
395,459.49746528,2397278.235263192
396,459.59745888,2398537.265610421
397,459.69745248,2400497.589622013
398,459.79744608,2403168.636344285
399,459.89743968,2406460.733896408
400,459.99743328,2410301.315794075
401,460.09742688,2414704.689903234
402,460.19742048,2419822.913257182
403,460.29741408,2425670.395192235
404,460.39740768,2432126.738202271
405,460.49740128,2438975.293472966
406,460.59739488,2445973.38333351
407,460.69738848,2452938.584401386
408,460.79738208,2459805.530625494
409,460.89737568,2466548.032825998
410,460.99736928,2473118.793738357
411,461.09736288,2479412.971544835
412,461.19735648,2485267.982175295
413,461.29735008,2490510.263343973
414,461.39734368,2495119.682031127
415,461.49733728,2499164.577779238
416,461.59733088,2502746.337246088
417,461.69732448,2505955.5139431
418,461.79731808,2508784.115275485
419,461.89731168,2511047.632177768
420,461.99730528,2512509.110718898
421,462.09729888,2513048.574528979
422,462.19729248,2512651.752018746
423,462.29728608,2511346.628723903
424,462.39727968,2509108.954723309
425,462.49727328,2505852.896400298
426,462.59726688,2501534.068161878
427,462.69726048,2496177.392552087
428,462.79725408,2489840.457361704
429,462.89724768,2482607.211195169
430,462.99724128,2474634.245259254
431,463.09723488,2466105.160059599
432,463.19722848,2457123.188084964
433,463.29722208,2447695.233136908
434,463.39721568,2437770.495606443
435,463.49720928,2427316.506325011
436,463.59720288,2416317.093895912
437,463.69719648,2404702.991260078
438,463.79719008,2392345.22944517
439,463.89718368,2379045.606477455
440,463.99717728,2364605.391965693
441,464.09717088,2348888.866941778
442,464.19716448,2331842.827892786
443,464.29715808,2313529.734462768
444,464.39715168,2294147.237292234
445,464.49714528,2274002.67520351
446,464.59713888,2253425.816768452
447,464.69713248,2232763.325093992
448,464.79712608,2212411.033626625
449,464.89711968,2192825.284013112
450,464.99711328,2174511.334033863
451,465.09710688,2157895.05034888
452,465.19710048,2143179.849814084
453,465.29709408,2130323.657465893
454,465.39708768,2119115.478477694
455,465.49708128,2109218.219713339
456,465.59707488,2100167.471134224
457,465.69706848,2091532.416043359
458,465.79706208,2082997.618199127
459,465.89705568,2074296.55551895
460,465.99704928,2065110.000354272
461,466.09704288,2055110.055036132
462,466.19703648,2044133.947574583
463,466.29703008,2032417.776752681
464,466.39702368,2020660.529983536
465,466.49701728,2009787.254261203
466,466.59701088,2000744.502810384
467,466.69700448,1994272.357065711
468,466.79699808,1990601.047103532
